Player,Rk,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_2,PassDead_2,TO_2,Sh_2,Fld_2,Def_2,Matches
Aaron Cresswell,112,engENG,DF,West Ham,35-145,1989,7.5,12,1.60,5,7,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aaron Ramsdale,420,engENG,GK,Southampton,26-360,1998,27.0,3,0.11,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aaron Wan-Bissaka,537,engENG,DF,West Ham,27-164,1997,32.0,85,2.65,68,4,7,3,1,2,8,0.25,7,0,0,1,0,0,Matches
Abdoulaye Doucouré,146,mlMLI,MF,Everton,32-128,1993,26.9,54,2.00,48,0,3,2,0,1,2,0.07,1,0,0,0,0,1,Matches
Abdukodir Khusanov,280,uzUZB,DF,Manchester City,21-069,2004,5.6,5,0.89,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Abdul Fatawu Issahaku,175,ghGHA,FW,Leicester City,21-062,2004,6.4,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0,Matches
Adam Armstrong,33,engENG,"FW,MF",Southampton,28-088,1997,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,Matches
Adam Lallana,294,engENG,MF,Southampton,36-364,1988,4.0,9,2.24,8,0,0,0,1,0,2,0.50,2,0,0,0,0,0,Matches
Adam Smith,473,engENG,DF,Bournemouth,34-010,1991,15.7,20,1.28,15,1,1,0,2,1,2,0.13,1,0,0,0,1,0,Matches
Adam Webster,543,engENG,DF,Brighton,30-125,1995,6.9,10,1.46,8,2,0,0,0,0,3,0.44,2,1,0,0,0,0,Matches
Adam Wharton,547,engENG,MF,Crystal Palace,20-341,2004,14.6,59,4.03,45,11,0,2,0,1,6,0.41,4,2,0,0,0,0,Matches
Adama Traoré,513,esESP,"FW,MF",Fulham,29-104,1996,17.7,76,4.30,61,0,9,4,0,2,9,0.51,8,0,1,0,0,0,Matches
Albert Grønbaek,214,dkDEN,"FW,MF",Southampton,23-351,2001,1.6,2,1.26,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Alejandro Garnacho,194,arARG,"MF,FW",Manchester Utd,20-312,2004,23.8,81,3.40,62,1,3,9,6,0,6,0.25,4,0,0,1,1,0,Matches
Alex Iwobi,251,ngNGA,"FW,MF",Fulham,29-006,1996,31.1,115,3.70,99,0,8,6,2,0,16,0.52,13,0,2,1,0,0,Matches
Alex McCarthy,338,engENG,GK,Southampton,35-157,1989,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alex Palmer,401,engENG,GK,Ipswich Town,28-272,1996,11.0,2,0.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alex Scott,458,engENG,MF,Bournemouth,21-261,2003,7.9,28,3.55,18,2,0,2,3,3,2,0.25,2,0,0,0,0,0,Matches
Alexander Isak,250,seSWE,FW,Newcastle Utd,25-230,1999,28.6,89,3.11,68,1,8,8,2,2,14,0.49,11,0,1,0,1,1,Matches
Alexis Mac Allister,314,arARG,MF,Liverpool,26-136,1998,28.6,119,4.16,82,24,2,6,2,3,15,0.52,10,3,0,2,0,0,Matches
Alfie Dorrington,145,engENG,DF,Tottenham,20-019,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alfie Pond,415,engENG,DF,Wolves,21-069,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ali Al Hamadi,225,iqIRQ,FW,Ipswich Town,23-069,2002,1.5,8,5.37,4,0,3,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Alisson,16,brBRA,GK,Liverpool,32-219,1992,24.9,6,0.24,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Alphonse Areola,31,frFRA,GK,West Ham,32-071,1993,23.1,3,0.13,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Altay Bayındır,48,trTUR,GK,Manchester Utd,27-025,1998,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Amad Diallo,131,ciCIV,"FW,MF",Manchester Utd,22-302,2002,18.2,83,4.56,56,9,8,2,4,4,17,0.93,7,0,4,1,1,4,Matches
Amadou Onana,392,beBEL,MF,Aston Villa,23-266,2001,15.3,27,1.76,21,2,0,4,0,0,4,0.26,2,1,0,1,0,0,Matches
Andreas Pereira,407,brBRA,MF,Fulham,29-128,1996,20.9,101,4.84,52,41,0,4,4,0,8,0.38,4,2,0,0,2,0,Matches
Andrew Robertson,433,sctSCO,DF,Liverpool,31-059,1994,25.6,75,2.92,63,9,1,1,0,1,3,0.12,3,0,0,0,0,0,Matches
André,26,brBRA,MF,Wolves,23-297,2001,25.0,45,1.80,37,3,1,0,0,4,3,0.12,2,1,0,0,0,0,Matches
André Onana,393,cmCMR,GK,Manchester Utd,29-037,1996,33.0,4,0.12,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Andrés García,193,esESP,"DF,MF",Aston Villa,22-091,2003,3.5,3,0.85,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Andy Irving,249,sctSCO,MF,West Ham,24-361,2000,1.8,5,2.68,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Anthony Elanga,160,seSWE,"FW,MF",Nott'ham Forest,23-012,2002,24.8,89,3.59,50,19,5,7,8,0,14,0.57,10,2,1,0,1,0,Matches
Anthony Gordon,208,engENG,FW,Newcastle Utd,24-074,2001,24.8,99,3.99,71,10,7,3,8,0,12,0.48,9,1,1,0,1,0,Matches
Antoine Semenyo,461,ghGHA,FW,Bournemouth,25-122,2000,32.6,123,3.77,79,4,19,14,5,2,13,0.40,7,1,2,1,2,0,Matches
Antonee Robinson,434,usUSA,DF,Fulham,27-274,1997,33.2,77,2.32,72,1,1,2,0,1,11,0.33,11,0,0,0,0,0,Matches
Antony,28,brBRA,"DF,MF",Manchester Utd,25-074,2000,1.6,8,5.11,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Antonín Kinský,283,czCZE,GK,Tottenham,22-057,2003,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Archie Gray,210,engENG,"DF,MF",Tottenham,19-058,2006,16.5,5,0.30,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Arijanet Muric,366,xkKVX,GK,Ipswich Town,26-183,1998,18.0,1,0.06,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Armando Broja,70,alALB,FW,Everton,23-241,2001,3.7,7,1.89,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Armel Bella Kotchap,50,deGER,DF,Southampton,23-149,2001,3.7,2,0.54,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Asher Agbinone,7,engENG,MF,Crystal Palace,19-223,2005,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ashley Young,564,engENG,"DF,FW",Everton,39-304,1985,18.0,38,2.11,28,6,0,1,2,1,6,0.33,4,0,0,1,0,1,Matches
Axel Disasi,137,frFRA,DF,Aston Villa,27-059,1998,5.4,9,1.65,7,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Axel Tuanzebe,520,cdCOD,DF,Ipswich Town,27-176,1997,16.1,11,0.68,9,1,0,0,1,0,2,0.12,2,0,0,0,0,0,Matches
Ayden Heaven,230,engENG,DF,Manchester Utd,18-229,2006,1.1,2,1.89,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Bart Verbruggen,530,nlNED,GK,Brighton,22-264,2002,33.0,5,0.15,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Ben Brereton,68,clCHI,FW,Southampton,26-021,1999,5.0,9,1.80,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Ben Chilwell,96,engENG,DF,Crystal Palace,28-139,1996,1.5,3,1.93,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Ben Davies,122,wlsWAL,DF,Tottenham,32-015,1993,12.5,8,0.64,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Ben Godfrey,199,engENG,DF,Ipswich Town,27-114,1998,1.8,1,0.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ben Johnson,263,engENG,"DF,FW",Ipswich Town,25-105,2000,15.0,23,1.54,11,9,0,1,2,0,5,0.33,4,0,0,1,0,0,Matches
Ben Mee,342,engENG,DF,Brentford,35-230,1989,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ben White,548,engENG,DF,Arsenal,27-213,1997,10.5,16,1.53,16,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
Ben Winterburn,556,engENG,"FW,MF",Bournemouth,20-247,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Benoît Badiashile,42,frFRA,DF,Chelsea,24-044,2001,3.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bernardo Silva,466,ptPOR,"MF,FW",Manchester City,30-272,1994,26.7,83,3.11,74,2,4,0,3,0,8,0.30,8,0,0,0,0,0,Matches
Bernd Leno,299,deGER,GK,Fulham,33-066,1992,35.0,5,0.14,5,0,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
Beto,57,gwGNB,FW,Everton,27-098,1998,14.1,17,1.21,11,0,3,1,2,0,0,0.00,0,0,0,0,0,0,Matches
Bilal El Khannouss,279,maMAR,MF,Leicester City,20-364,2004,22.3,66,2.97,48,7,6,3,2,0,5,0.22,4,1,0,0,0,0,Matches
Billy Gilmour,198,sctSCO,MF,Brighton,23-332,2001,1.1,3,2.76,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bobby De Cordova-Reid,126,jmJAM,FW,Leicester City,32-096,1993,8.3,13,1.57,8,0,0,3,2,0,3,0.36,1,0,0,1,1,0,Matches
Boubacar Kamara,273,frFRA,MF,Aston Villa,25-167,1999,16.3,24,1.48,18,1,1,1,1,2,2,0.12,2,0,0,0,0,0,Matches
Boubacar Traoré,514,mlMLI,MF,Wolves,23-262,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Boubakary Soumaré,480,frFRA,MF,Leicester City,26-071,1999,21.8,34,1.56,26,0,5,1,2,0,3,0.14,3,0,0,0,0,0,Matches
Brajan Gruda,213,deGER,"FW,MF",Brighton,20-343,2004,5.6,27,4.77,21,3,2,0,1,0,4,0.71,3,1,0,0,0,0,Matches
Brandon Austin,37,engENG,GK,Tottenham,26-121,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Brennan Johnson,264,wlsWAL,FW,Tottenham,23-351,2001,23.1,46,1.99,30,0,6,4,5,1,7,0.30,5,0,1,0,1,0,Matches
Bruno Fernandes,179,ptPOR,MF,Manchester Utd,30-243,1994,30.6,169,5.51,120,30,5,6,6,2,12,0.39,9,2,0,1,0,0,Matches
Bruno Guimarães,218,brBRA,MF,Newcastle Utd,27-174,1997,33.4,121,3.63,108,3,3,0,4,3,17,0.51,16,1,0,0,0,0,Matches
Bryan Mbeumo,335,cmCMR,FW,Brentford,25-275,1999,34.9,134,3.84,93,22,9,6,4,0,18,0.52,10,2,2,3,1,0,Matches
Bukayo Saka,443,engENG,"FW,MF",Arsenal,23-246,2001,17.1,102,5.97,61,19,9,9,4,0,22,1.29,13,5,2,1,1,0,Matches
Caleb Kporha,289,engENG,DF,Crystal Palace,18-298,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Caleb Okoli,390,itITA,DF,Leicester City,23-300,2001,12.5,4,0.32,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Callum Hudson-Odoi,241,engENG,"FW,MF",Nott'ham Forest,24-183,2000,23.9,94,3.93,74,3,10,3,4,0,11,0.46,7,0,2,0,2,0,Matches
Callum Wilson,553,engENG,FW,Newcastle Utd,33-071,1992,3.2,6,1.89,3,0,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches
Calvin Bassey,47,ngNGA,DF,Fulham,25-129,1999,32.2,23,0.72,19,1,2,0,0,1,3,0.09,2,0,0,0,0,1,Matches
Cameron Archer,30,engENG,FW,Southampton,23-292,2001,15.3,17,1.12,8,0,4,4,1,0,0,0.00,0,0,0,0,0,0,Matches
Cameron Burgess,75,auAUS,DF,Ipswich Town,29-200,1995,16.1,13,0.81,13,0,0,0,0,0,3,0.19,3,0,0,0,0,0,Matches
Caoimhín Kelleher,276,ieIRL,GK,Liverpool,26-167,1998,10.0,3,0.30,3,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
Carlos Alcaraz,13,arARG,MF,Southampton,22-160,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Baleba,44,cmCMR,MF,Brighton,21-126,2004,26.7,60,2.25,50,0,2,4,1,3,4,0.15,2,0,0,0,1,1,Matches
Carlos Forbs,185,ptPOR,"MF,FW",Wolves,21-051,2004,2.7,5,1.89,3,0,2,0,0,0,1,0.38,1,0,0,0,0,0,Matches
Carlos Soler,476,esESP,"MF,FW",West Ham,28-127,1997,15.1,47,3.12,29,7,2,5,3,1,2,0.13,2,0,0,0,0,0,Matches
Carlos Vinícius,533,brBRA,"MF,FW",Fulham,30-045,1995,0.2,2,11.25,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Casemiro,86,brBRA,MF,Manchester Utd,33-075,1992,14.8,49,3.31,45,1,0,3,0,0,3,0.20,3,0,0,0,0,0,Matches
Chadi Riad,429,maMAR,DF,Crystal Palace,21-326,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Charlie Taylor,498,engENG,DF,Southampton,31-233,1993,3.0,2,0.68,2,0,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
Cheick Doucouré,147,mlMLI,MF,Crystal Palace,25-121,2000,5.0,9,1.79,5,0,0,2,1,1,3,0.60,1,0,0,1,1,0,Matches
Chidozie Obi-Martin,387,dkDEN,FW,Manchester Utd,17-161,2007,1.7,2,1.16,0,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Chiedozie Ogbene,389,ieIRL,FW,Ipswich Town,28-008,1997,2.6,3,1.13,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Chiquinho,97,ptPOR,MF,Wolves,25-093,2000,0.1,2,25.71,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Chris Richards,431,usUSA,DF,Crystal Palace,25-042,2000,18.4,7,0.38,3,0,0,2,1,1,2,0.11,0,0,0,2,0,0,Matches
Chris Wood,558,nzNZL,FW,Nott'ham Forest,33-153,1991,29.9,40,1.34,32,0,2,4,0,2,5,0.17,4,0,0,0,0,1,Matches
Christian Eriksen,166,dkDEN,MF,Manchester Utd,33-084,1992,11.4,51,4.46,34,14,0,3,0,0,7,0.61,5,2,0,0,0,0,Matches
Christian Nørgaard,383,dkDEN,MF,Brentford,31-060,1994,28.3,49,1.73,40,0,0,6,2,1,10,0.35,9,0,0,0,1,0,Matches
Christian Walton,536,engENG,GK,Ipswich Town,29-181,1995,6.0,2,0.33,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Christopher Nkunku,378,frFRA,FW,Chelsea,27-176,1997,10.2,34,3.32,21,0,5,5,1,2,4,0.39,1,0,1,1,1,0,Matches
Cody Gakpo,191,nlNED,FW,Liverpool,26-002,1999,19.1,71,3.72,52,0,8,5,4,2,7,0.37,3,0,3,0,1,0,Matches
Cole Palmer,402,engENG,MF,Chelsea,23-003,2002,32.5,190,5.86,126,21,15,19,7,2,15,0.46,11,0,2,1,1,0,Matches
Conor Bradley,65,nirNIR,DF,Liverpool,21-304,2003,6.3,16,2.54,11,0,4,0,1,0,2,0.32,2,0,0,0,0,0,Matches
Conor Chaplin,93,engENG,"MF,FW",Ipswich Town,28-082,1997,7.9,21,2.66,19,2,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
Conor Coady,103,engENG,DF,Leicester City,32-073,1993,16.0,5,0.31,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Conor Townsend,512,engENG,DF,Ipswich Town,32-066,1993,3.7,5,1.34,4,1,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
Craig Dawson,124,engENG,DF,Wolves,35-003,1990,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0,Matches
Cristian Romero,440,arARG,DF,Tottenham,27-012,1998,15.7,20,1.27,16,0,0,4,0,0,4,0.25,3,0,0,1,0,0,Matches
Crysencio Summerville,492,nlNED,"FW,MF",West Ham,23-191,2001,8.7,35,4.01,21,3,5,0,5,1,1,0.11,1,0,0,0,0,0,Matches
Curtis Jones,266,engENG,"MF,DF",Liverpool,24-099,2001,17.0,42,2.47,37,0,0,3,2,0,7,0.41,5,0,0,1,1,0,Matches
Daichi Kamada,272,jpJPN,MF,Crystal Palace,28-277,1996,15.8,49,3.10,36,6,1,3,1,2,3,0.19,2,1,0,0,0,0,Matches
Dan Burn,76,engENG,DF,Newcastle Utd,33-000,1992,34.0,21,0.62,16,1,0,3,1,0,3,0.09,2,1,0,0,0,0,Matches
Dane Scarlett,454,engENG,"FW,MF",Tottenham,21-046,2004,0.4,1,2.65,1,0,0,0,0,0,1,2.65,1,0,0,0,0,0,Matches
Dango Ouattara,399,bfBFA,FW,Bournemouth,23-087,2002,22.3,72,3.23,57,0,3,10,1,1,6,0.27,4,0,1,1,0,0,Matches
Daniel Bentley,53,engENG,GK,Wolves,31-300,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Daniel Jebbison,256,engENG,FW,Bournemouth,21-269,2003,0.9,5,5.63,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Daniel Muñoz,365,coCOL,DF,Crystal Palace,28-348,1996,32.9,78,2.37,64,2,2,5,1,4,9,0.27,7,0,1,1,0,0,Matches
Daniel Podence,414,ptPOR,"MF,FW",Wolves,29-200,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Danilo,119,brBRA,"MF,FW",Nott'ham Forest,24-010,2001,3.0,7,2.37,7,0,0,0,0,0,2,0.68,2,0,0,0,0,0,Matches
Danny Ings,247,engENG,"FW,MF",West Ham,32-290,1992,3.2,12,3.80,7,0,1,3,1,0,2,0.63,0,0,0,1,1,0,Matches
Danny Ward,538,wlsWAL,GK,Leicester City,31-321,1993,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Danny Welbeck,544,engENG,FW,Brighton,34-164,1990,21.6,44,2.04,33,1,3,1,6,0,6,0.28,6,0,0,0,0,0,Matches
Dara O'Shea,386,ieIRL,DF,Ipswich Town,26-066,1999,31.7,22,0.69,18,0,0,1,2,1,4,0.13,4,0,0,0,0,0,Matches
Darwin Núñez,381,uyURU,FW,Liverpool,25-319,1999,11.7,27,2.31,18,0,4,1,2,2,4,0.34,3,0,0,0,1,0,Matches
David Brooks,71,wlsWAL,"FW,MF",Bournemouth,27-305,1997,9.2,35,3.79,29,3,2,1,0,0,2,0.22,1,0,0,1,0,0,Matches
David Raya,424,esESP,GK,Arsenal,29-236,1995,35.0,4,0.11,3,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Dean Henderson,233,engENG,GK,Crystal Palace,28-058,1997,35.0,3,0.09,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Dean Huijsen,243,esESP,DF,Bournemouth,20-025,2005,24.8,40,1.61,37,1,0,1,1,0,3,0.12,3,0,0,0,0,0,Matches
Declan Rice,430,engENG,MF,Arsenal,26-115,1999,29.4,106,3.61,57,33,4,5,5,2,10,0.34,6,2,1,1,0,0,Matches
Dejan Kulusevski,292,seSWE,"MF,FW",Tottenham,25-014,2000,26.3,127,4.82,95,12,15,2,3,0,9,0.34,7,1,1,0,0,0,Matches
Destiny Udogie,521,itITA,DF,Tottenham,22-162,2002,20.4,35,1.72,31,0,0,1,1,2,3,0.15,2,0,0,0,0,1,Matches
Diego Carlos,84,brBRA,DF,Aston Villa,32-055,1993,9.2,4,0.43,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Diego Gómez,205,pyPAR,MF,Brighton,22-043,2003,4.9,14,2.86,12,1,0,1,0,0,3,0.61,2,1,0,0,0,0,Matches
Diogo Dalot,117,ptPOR,DF,Manchester Utd,26-052,1999,31.0,74,2.39,57,5,7,4,0,1,5,0.16,3,0,1,1,0,0,Matches
Diogo Jota,268,ptPOR,FW,Liverpool,28-156,1996,12.8,35,2.73,22,0,6,5,1,1,9,0.70,5,0,2,1,1,0,Matches
Divin Mubama,361,engENG,FW,Manchester City,20-196,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Djed Spence,481,engENG,DF,Tottenham,24-273,2000,17.8,28,1.57,22,1,4,1,0,0,5,0.28,3,1,1,0,0,0,Matches
