Player,Rk,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_2,PassDead_2,TO_2,Sh_2,Fld_2,Def_2,Matches
Ola Aina,8,ngNGA,DF,Nott'ham Forest,28-213,1996,30.4,58,1.91,46,5,3,1,2,1,3,0.10,2,0,0,0,0,1,Matches
Oleksandr Zinchenko,566,uaUKR,"DF,MF",Arsenal,28-145,1996,5.1,16,3.16,11,1,1,2,1,0,2,0.40,2,0,0,0,0,0,Matches
Oliver Scarles,453,engENG,DF,West Ham,19-148,2005,6.6,5,0.76,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Oliver Skipp,471,engENG,MF,Leicester City,24-235,2000,11.1,14,1.27,12,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Ollie Watkins,542,engENG,FW,Aston Villa,29-130,1995,25.9,51,1.97,34,0,4,7,6,0,11,0.42,7,0,1,1,2,0,Matches
Omar Marmoush,326,egEGY,"FW,MF",Manchester City,26-091,1999,11.1,33,2.98,18,3,1,4,7,0,1,0.09,0,0,0,0,1,0,Matches
Omari Hutchinson,244,engENG,"MF,FW",Ipswich Town,21-191,2003,25.7,68,2.65,49,0,8,5,4,2,6,0.23,6,0,0,0,0,0,Matches
Orel Mangala,323,beBEL,MF,Everton,27-052,1998,14.0,24,1.72,17,1,2,3,1,0,1,0.07,0,0,0,0,1,0,Matches
Oscar Bobb,60,noNOR,FW,Manchester City,21-301,2003,0.2,2,12.00,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pablo Sarabia,449,esESP,"MF,FW",Wolves,32-363,1992,8.0,25,3.14,17,6,2,0,0,0,4,0.50,3,0,1,0,0,0,Matches
Pape Matar Sarr,330,snSEN,MF,Tottenham,22-237,2002,19.2,42,2.19,34,2,2,3,0,1,6,0.31,4,0,1,1,0,0,Matches
Patrick Dorgu,144,dkDEN,DF,Manchester Utd,20-195,2004,7.0,13,1.86,12,0,0,0,1,0,1,0.14,0,0,0,0,1,0,Matches
Patson Daka,116,zmZAM,"FW,MF",Leicester City,26-212,1998,7.3,10,1.38,7,0,2,1,0,0,1,0.14,0,0,1,0,0,0,Matches
Pau Torres,511,esESP,DF,Aston Villa,28-113,1997,20.2,12,0.59,9,0,0,3,0,0,2,0.10,1,0,0,1,0,0,Matches
Paul Onuachu,394,ngNGA,FW,Southampton,30-346,1994,11.4,9,0.79,8,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
Pedro Lima,305,brBRA,DF,Wolves,18-312,2006,0.8,4,5.14,2,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
Pedro Neto,376,ptPOR,FW,Chelsea,25-061,2000,22.4,85,3.80,63,8,5,5,4,0,8,0.36,5,1,2,0,0,0,Matches
Pedro Porro,417,esESP,DF,Tottenham,25-238,1999,27.4,104,3.80,69,22,3,5,4,1,8,0.29,4,3,1,0,0,0,Matches
Pervis Estupiñán,168,ecECU,DF,Brighton,27-108,1998,24.7,52,2.11,34,13,0,2,3,0,4,0.16,3,0,0,0,1,0,Matches
Phil Foden,183,engENG,"MF,FW",Manchester City,24-346,2000,18.8,84,4.47,56,18,2,5,3,0,9,0.48,5,1,0,3,0,0,Matches
Philip Billing,58,dkDEN,MF,Bournemouth,28-332,1996,2.0,16,7.83,13,0,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches
Radu Drăgușin,150,roROU,DF,Tottenham,23-095,2002,13.9,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Raheem Sterling,485,engENG,"FW,MF",Arsenal,30-152,1994,4.9,18,3.71,14,0,2,2,0,0,3,0.62,3,0,0,0,0,0,Matches
Ramón Sosa,478,pyPAR,"FW,MF",Nott'ham Forest,25-251,1999,3.3,14,4.23,11,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Rasmus Højlund,245,dkDEN,FW,Manchester Utd,22-094,2003,19.4,30,1.55,20,0,3,4,3,0,1,0.05,0,0,0,0,1,0,Matches
Rayan Aït-Nouri,9,dzALG,DF,Wolves,23-337,2001,31.8,78,2.45,47,13,7,7,3,1,12,0.38,10,1,0,0,0,1,Matches
Raúl Jiménez,259,mxMEX,FW,Fulham,34-004,1991,24.7,57,2.31,40,1,2,9,4,1,6,0.24,3,0,0,1,1,1,Matches
Reece James,253,engENG,"DF,MF",Chelsea,25-152,1999,9.3,15,1.61,9,5,0,1,0,0,1,0.11,0,0,0,1,0,0,Matches
Reiss Nelson,373,engENG,FW,Arsenal,25-150,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Remy Rees-Dottin,426,engENG,FW,Bournemouth,19-064,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Renato Veiga,527,ptPOR,"DF,MF",Chelsea,21-284,2003,2.0,1,0.49,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Ricardo Pereira,408,ptPOR,DF,Leicester City,31-215,1993,3.8,3,0.79,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Riccardo Calafiori,82,itITA,DF,Arsenal,22-355,2002,10.3,13,1.26,11,0,1,1,0,0,2,0.19,2,0,0,0,0,0,Matches
Richarlison,432,brBRA,FW,Tottenham,27-364,1997,5.3,8,1.51,5,0,0,2,1,0,1,0.19,1,0,0,0,0,0,Matches
Rico Henry,234,engENG,DF,Brentford,27-305,1997,0.9,1,1.08,1,0,0,0,0,0,1,1.08,1,0,0,0,0,0,Matches
Rico Lewis,301,engENG,"DF,MF",Manchester City,20-169,2004,20.2,31,1.54,30,0,0,0,1,0,3,0.15,3,0,0,0,0,0,Matches
Robert Sánchez,446,esESP,GK,Chelsea,27-172,1997,29.0,7,0.24,6,1,0,0,0,0,2,0.07,1,1,0,0,0,0,Matches
Robin Olsen,391,seSWE,GK,Aston Villa,35-121,1990,2.0,2,1.00,0,2,0,0,0,0,1,0.50,0,1,0,0,0,0,Matches
Rodri,436,esESP,MF,Manchester City,28-321,1996,0.7,2,2.77,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rodrigo Bentancur,52,uyURU,MF,Tottenham,27-318,1997,16.9,45,2.67,36,0,1,5,1,2,3,0.18,3,0,0,0,0,0,Matches
Rodrigo Gomes,203,ptPOR,"DF,FW",Wolves,21-306,2003,7.5,21,2.82,18,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Rodrigo Muniz,364,brBRA,FW,Fulham,24-005,2001,10.7,17,1.59,10,0,2,2,2,1,2,0.19,1,0,1,0,0,0,Matches
Romain Esse,167,engENG,MF,Crystal Palace,19-361,2005,0.4,2,5.14,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Roman Dixon,139,engENG,DF,Everton,20-134,2004,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Roméo Lavia,297,beBEL,MF,Chelsea,21-123,2004,7.6,13,1.71,12,0,0,0,0,1,2,0.26,2,0,0,0,0,0,Matches
Ronnie Edwards,159,engENG,DF,Southampton,22-042,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ross Barkley,45,engENG,MF,Aston Villa,31-155,1993,6.3,18,2.84,15,1,2,0,0,0,3,0.47,3,0,0,0,0,0,Matches
Ross Stewart,486,sctSCO,FW,Southampton,28-302,1996,3.2,2,0.63,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Ryan Christie,99,sctSCO,MF,Bournemouth,30-076,1995,23.5,85,3.62,72,7,0,3,2,1,9,0.38,8,1,0,0,0,0,Matches
Ryan Fraser,188,sctSCO,"FW,DF",Southampton,31-074,1994,3.4,5,1.47,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ryan Gravenberch,209,nlNED,MF,Liverpool,22-358,2002,32.5,65,2.00,57,0,5,2,0,1,6,0.18,6,0,0,0,0,0,Matches
Ryan Manning,324,ieIRL,"DF,MF",Southampton,28-329,1996,16.2,50,3.08,25,22,0,1,1,1,3,0.18,0,2,0,0,1,0,Matches
Ryan Sessegnon,463,engENG,"FW,DF",Fulham,24-356,2000,5.2,17,3.25,14,0,0,2,1,0,3,0.57,3,0,0,0,0,0,Matches
Ryan Trevitt,516,engENG,MF,Brentford,22-058,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ryan Yates,562,engENG,MF,Nott'ham Forest,27-169,1997,20.8,36,1.73,25,0,1,6,2,2,3,0.14,2,0,0,1,0,0,Matches
Rúben Dias,132,ptPOR,DF,Manchester City,27-360,1997,22.2,22,0.99,15,0,0,5,0,2,1,0.04,1,0,0,0,0,0,Matches
Sam Johnstone,265,engENG,GK,Wolves,32-045,1993,7.0,2,0.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sam Morsy,358,egEGY,MF,Ipswich Town,33-241,1991,27.6,40,1.45,35,4,0,0,1,0,2,0.07,2,0,0,0,0,0,Matches
Sammie Szmodics,493,ieIRL,"FW,MF",Ipswich Town,29-227,1995,10.9,9,0.83,7,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Amo-Ameyaw,21,engENG,"FW,DF",Southampton,18-295,2006,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Edozie,158,engENG,"DF,FW",Southampton,22-101,2003,0.7,4,5.54,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Sander Berge,54,noNOR,MF,Fulham,27-084,1998,23.2,41,1.76,36,1,1,1,0,2,2,0.09,2,0,0,0,0,0,Matches
Sandro Tonali,510,itITA,MF,Newcastle Utd,25-001,2000,26.2,61,2.32,44,1,3,5,5,3,8,0.30,8,0,0,0,0,0,Matches
Santiago Bueno,73,uyURU,DF,Wolves,26-181,1998,18.7,12,0.64,10,1,0,0,0,1,4,0.21,3,0,0,0,0,1,Matches
Saša Lukić,310,rsSRB,MF,Fulham,28-269,1996,24.1,50,2.08,32,11,0,5,1,1,3,0.12,2,0,0,1,0,0,Matches
Scott McTominay,341,sctSCO,MF,Manchester Utd,28-152,1996,0.2,1,4.74,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Sean Longstaff,309,engENG,MF,Newcastle Utd,27-191,1997,8.9,14,1.58,12,0,1,1,0,0,2,0.23,1,0,0,1,0,0,Matches
Sepp van den Berg,128,nlNED,DF,Brentford,23-140,2001,25.7,21,0.82,19,0,0,1,1,0,2,0.08,1,0,0,0,1,0,Matches
Sergio Reguilón,427,esESP,DF,Tottenham,28-144,1996,1.4,1,0.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Shumaira Mheuka,345,engENG,MF,Chelsea,17-201,2007,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Simon Adingra,5,ciCIV,"FW,MF",Brighton,23-128,2002,10.6,39,3.68,27,0,6,6,0,0,7,0.66,5,0,1,1,0,0,Matches
Solly March,325,engENG,"FW,MF",Brighton,30-293,1994,1.9,7,3.77,6,1,0,0,0,0,2,1.08,2,0,0,0,0,0,Matches
Son Heung-min,236,krKOR,FW,Tottenham,32-305,1992,22.3,116,5.21,86,8,10,7,5,0,15,0.67,13,0,0,1,1,0,Matches
Stefan Ortega,397,deGER,GK,Manchester City,32-184,1992,12.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Stephy Mavididi,332,engENG,FW,Leicester City,26-343,1998,17.9,50,2.78,39,2,4,2,2,1,7,0.39,6,0,1,0,0,0,Matches
Sven Botman,63,nlNED,DF,Newcastle Utd,25-117,2000,2.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sávio,452,brBRA,"FW,MF",Manchester City,21-029,2004,19.3,107,5.55,76,2,15,4,7,3,15,0.78,10,0,2,1,1,1,Matches
Séamus Coleman,104,ieIRL,DF,Everton,36-210,1988,2.2,2,0.91,1,0,1,0,0,0,1,0.46,1,0,0,0,0,0,Matches
Taiwo Awoniyi,38,ngNGA,FW,Nott'ham Forest,27-270,1997,4.5,9,1.98,5,0,1,2,1,0,1,0.22,0,0,0,1,0,0,Matches
Takehiro Tomiyasu,509,jpJPN,DF,Arsenal,26-185,1998,0.1,1,12.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tariq Lamptey,295,ghGHA,DF,Brighton,24-221,2000,8.9,16,1.79,13,1,0,0,1,1,3,0.34,2,0,0,0,0,1,Matches
Taylor Harwood-Bellis,228,engENG,DF,Southampton,23-099,2002,29.5,37,1.25,32,0,0,3,1,1,2,0.07,1,0,0,1,0,0,Matches
Thiago,502,brBRA,FW,Brentford,23-317,2001,1.6,2,1.27,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Thomas Partey,405,ghGHA,"MF,DF",Arsenal,31-330,1993,28.1,58,2.07,48,2,1,2,1,4,13,0.46,8,2,0,1,1,1,Matches
Tim Iroegbunam,248,engENG,MF,Everton,21-313,2003,6.3,10,1.59,6,0,1,0,1,2,1,0.16,1,0,0,0,0,0,Matches
Timo Werner,546,deGER,"FW,MF",Tottenham,29-064,1996,5.7,18,3.13,14,0,2,1,1,0,3,0.52,3,0,0,0,0,0,Matches
Timothy Castagne,90,beBEL,DF,Fulham,29-155,1995,18.3,25,1.36,21,0,1,2,1,0,3,0.16,2,0,0,1,0,0,Matches
Toby Collyer,106,engENG,MF,Manchester Utd,21-126,2004,2.0,5,2.50,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Tom Cairney,80,sctSCO,MF,Fulham,34-109,1991,5.5,28,5.08,25,2,0,0,1,0,3,0.54,3,0,0,0,0,0,Matches
Tommy Doyle,149,engENG,MF,Wolves,23-204,2001,5.4,17,3.13,11,4,1,1,0,0,3,0.55,2,0,1,0,0,0,Matches
Tomáš Souček,479,czCZE,MF,West Ham,30-071,1995,25.9,43,1.66,35,0,0,5,2,1,3,0.12,2,0,0,0,1,0,Matches
Tosin Adarabioyo,4,engENG,DF,Chelsea,27-227,1997,13.7,12,0.88,7,0,0,5,0,0,1,0.07,0,0,0,1,0,0,Matches
Toti Gomes,204,ptPOR,DF,Wolves,26-113,1999,26.0,20,0.77,19,0,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches
Trent Alexander-Arnold,15,engENG,DF,Liverpool,26-214,1998,25.5,94,3.68,72,14,4,4,0,0,10,0.39,9,1,0,0,0,0,Matches
Trevoh Chalobah,91,engENG,DF,Crystal Palace,25-308,1999,11.8,11,0.93,10,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tyler Adams,3,usUSA,MF,Bournemouth,26-084,1999,19.0,37,1.95,32,0,0,1,0,4,4,0.21,3,0,0,0,0,1,Matches
Tyler Dibling,134,engENG,"FW,MF",Southampton,19-058,2006,19.4,56,2.89,34,1,11,5,5,0,4,0.21,2,0,1,1,0,0,Matches
Tyler Fredricson,189,engENG,DF,Manchester Utd,20-075,2005,1.8,3,1.63,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tyrell Malacia,321,nlNED,DF,Manchester Utd,25-265,1999,1.1,2,1.80,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Tyrick Mitchell,351,engENG,DF,Crystal Palace,25-250,1999,32.7,69,2.11,62,1,0,3,2,1,6,0.18,5,0,0,0,1,0,Matches
Tyrique George,196,engENG,FW,Chelsea,19-094,2006,1.1,6,5.24,5,0,1,0,0,0,1,0.87,1,0,0,0,0,0,Matches
Tyrone Mings,349,engENG,DF,Aston Villa,32-057,1993,11.7,17,1.45,14,0,0,1,1,1,2,0.17,1,0,0,1,0,0,Matches
Valentino Livramento,308,engENG,DF,Newcastle Utd,22-178,2002,28.6,39,1.37,37,0,0,1,1,0,2,0.07,2,0,0,0,0,0,Matches
Victor Bernth Kristiansen,56,dkDEN,DF,Leicester City,22-144,2002,26.4,41,1.55,32,6,1,0,2,0,3,0.11,3,0,0,0,0,0,Matches
Victor Lindelöf,306,seSWE,DF,Manchester Utd,30-296,1994,5.4,4,0.75,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Virgil van Dijk,525,nlNED,DF,Liverpool,33-305,1991,35.0,47,1.34,40,0,1,3,1,2,4,0.11,4,0,0,0,0,0,Matches
Vitaliy Mykolenko,369,uaUKR,DF,Everton,25-345,1999,31.2,38,1.22,36,0,1,1,0,0,3,0.10,2,0,0,1,0,0,Matches
Vitaly Janelt,254,deGER,MF,Brentford,26-364,1998,25.0,32,1.28,31,1,0,0,0,0,3,0.12,3,0,0,0,0,0,Matches
Vitezslav Jaros,255,czCZE,GK,Liverpool,23-290,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Vitor Reis,428,brBRA,DF,Manchester City,19-117,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Vladimír Coufal,110,czCZE,DF,West Ham,32-260,1992,9.7,13,1.34,9,4,0,0,0,0,1,0.10,0,1,0,0,0,0,Matches
Wataru Endo,165,jpJPN,MF,Liverpool,32-089,1993,2.6,6,2.26,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Welington,545,brBRA,"DF,MF",Southampton,24-079,2001,2.4,6,2.51,5,1,0,0,0,0,1,0.42,1,0,0,0,0,0,Matches
Wes Burns,77,wlsWAL,"FW,DF",Ipswich Town,30-167,1994,10.3,16,1.55,12,0,1,1,2,0,1,0.10,1,0,0,0,0,0,Matches
Wesley Fofana,184,frFRA,DF,Chelsea,24-143,2000,13.0,15,1.15,12,1,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Wilfred Ndidi,371,ngNGA,MF,Leicester City,28-144,1996,23.9,27,1.13,25,0,1,1,0,0,3,0.13,3,0,0,0,0,0,Matches
Will Alves,19,engENG,FW,Leicester City,20-095,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Will Hughes,242,engENG,MF,Crystal Palace,30-022,1995,21.1,61,2.89,38,15,1,2,5,0,6,0.28,2,3,0,1,0,0,Matches
Will Lankshear,296,engENG,"FW,MF",Tottenham,20-019,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
William Osula,398,dkDEN,FW,Newcastle Utd,21-278,2003,1.2,2,1.73,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
William Saliba,445,frFRA,DF,Arsenal,24-046,2001,32.3,26,0.81,24,0,0,1,0,1,1,0.03,1,0,0,0,0,0,Matches
William Smallbone,472,ieIRL,MF,Southampton,25-077,2000,7.2,15,2.09,11,3,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Willian,551,brBRA,"FW,MF",Fulham,36-273,1988,2.7,15,5.60,10,3,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Willy Boly,62,ciCIV,DF,Nott'ham Forest,34-095,1991,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Wilson Odobert,388,frFRA,FW,Tottenham,20-162,2004,7.0,14,2.01,12,0,0,2,0,0,1,0.14,1,0,0,0,0,0,Matches
Wout Faes,174,beBEL,DF,Leicester City,27-036,1998,28.3,17,0.60,15,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Woyo Coulibaly,111,frFRA,DF,Leicester City,25-354,1999,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yankuba Minteh,350,gmGAM,"FW,MF",Brighton,20-291,2004,17.6,54,3.07,31,8,11,2,1,1,11,0.62,5,0,5,1,0,0,Matches
Yasin Ayari,39,seSWE,MF,Brighton,21-215,2003,19.5,58,2.97,35,11,3,3,4,2,6,0.31,4,2,0,0,0,0,Matches
Yehor Yarmoliuk,561,uaUKR,MF,Brentford,21-069,2004,13.3,22,1.66,19,0,2,1,0,0,2,0.15,2,0,0,0,0,0,Matches
Yerson Mosquera,359,coCOL,DF,Wolves,24-007,2001,4.9,5,1.02,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yoane Wissa,557,cdCOD,FW,Brentford,28-248,1996,29.4,61,2.07,36,1,3,10,10,1,8,0.27,7,0,0,0,1,0,Matches
Youri Tielemans,504,beBEL,MF,Aston Villa,28-002,1997,33.3,119,3.57,78,31,3,4,2,1,12,0.36,9,3,0,0,0,0,Matches
Youssef Chermiti,94,ptPOR,"FW,MF",Everton,20-350,2004,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yukinari Sugawara,490,jpJPN,"DF,MF",Southampton,24-315,2000,16.3,39,2.39,30,5,1,3,0,0,1,0.06,1,0,0,0,0,0,Matches
Yunus Emre Konak,162,trTUR,"FW,MF",Brentford,19-119,2006,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yves Bissouma,59,mlMLI,MF,Tottenham,28-252,1996,14.4,15,1.04,14,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Zain Silcott-Duberry,465,msMSR,FW,Bournemouth,19-304,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Álex Moreno,357,esESP,"DF,MF",Nott'ham Forest,31-335,1993,10.6,16,1.51,15,1,0,0,0,0,2,0.19,2,0,0,0,0,0,Matches
İlkay Gündoğan,220,deGER,MF,Manchester City,34-197,1990,22.8,74,3.25,58,8,4,4,0,0,11,0.48,9,1,0,1,0,0,Matches
Łukasz Fabiański,173,plPOL,GK,West Ham,40-021,1985,11.9,3,0.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
