Player,Rk,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Ola Aina,8,ngNGA,DF,Nott'ham Forest,28-213,1996,30.4,3,0,0,21,34,2,47,31,41,0,1,0,173,13,18,41.9,Matches
Oleksandr Zinchenko,566,uaUKR,"DF,MF",Arsenal,28-145,1996,5.1,1,0,0,8,3,1,10,4,1,0,0,0,16,11,11,50.0,Matches
Oliver Scarles,453,engENG,DF,West Ham,19-148,2005,6.6,1,0,0,4,3,1,13,10,11,0,0,0,33,5,5,50.0,Matches
Oliver Skipp,471,engENG,MF,Leicester City,24-235,2000,11.1,8,0,0,19,13,0,5,10,4,0,0,0,40,10,6,62.5,Matches
Ollie Watkins,542,engENG,FW,Aston Villa,29-130,1995,25.9,2,0,0,27,30,13,7,8,6,2,0,0,39,47,62,43.1,Matches
Omar Marmoush,326,egEGY,"FW,MF",Manchester City,26-091,1999,11.1,0,0,0,13,17,9,25,5,6,1,0,0,32,5,8,38.5,Matches
Omari Hutchinson,244,engENG,"MF,FW",Ipswich Town,21-191,2003,25.7,5,0,0,29,36,4,60,10,12,0,0,0,96,6,24,20.0,Matches
Orel Mangala,323,beBEL,MF,Everton,27-052,1998,14.0,2,0,0,24,17,2,6,21,8,0,0,0,49,6,8,42.9,Matches
Oscar Bobb,60,noNOR,FW,Manchester City,21-301,2003,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,N/a,Matches
Pablo Sarabia,449,esESP,"MF,FW",Wolves,32-363,1992,8.0,3,0,0,14,15,5,40,4,8,0,0,0,29,4,12,25.0,Matches
Pape Matar Sarr,330,snSEN,MF,Tottenham,22-237,2002,19.2,6,0,0,31,34,2,14,26,32,0,1,0,108,28,40,41.2,Matches
Patrick Dorgu,144,dkDEN,DF,Manchester Utd,20-195,2004,7.0,3,1,0,14,20,3,28,4,17,0,0,0,26,12,7,63.2,Matches
Patson Daka,116,zmZAM,"FW,MF",Leicester City,26-212,1998,7.3,0,0,0,12,17,3,3,1,9,0,0,0,18,10,27,27.0,Matches
Pau Torres,511,esESP,DF,Aston Villa,28-113,1997,20.2,1,0,0,8,7,0,1,9,14,0,0,0,54,16,26,38.1,Matches
Paul Onuachu,394,ngNGA,FW,Southampton,30-346,1994,11.4,4,0,0,28,16,9,0,1,2,0,0,0,17,90,56,61.6,Matches
Pedro Lima,305,brBRA,DF,Wolves,18-312,2006,0.8,0,0,0,1,1,1,5,2,0,0,0,0,3,0,3,0.0,Matches
Pedro Neto,376,ptPOR,FW,Chelsea,25-061,2000,22.4,8,0,0,19,29,3,133,9,9,0,0,0,71,10,26,27.8,Matches
Pedro Porro,417,esESP,DF,Tottenham,25-238,1999,27.4,4,0,0,24,30,1,191,34,46,0,0,0,148,11,22,33.3,Matches
Pervis Estupiñán,168,ecECU,DF,Brighton,27-108,1998,24.7,5,0,0,33,17,3,114,34,39,0,0,0,136,43,26,62.3,Matches
Phil Foden,183,engENG,"MF,FW",Manchester City,24-346,2000,18.8,2,0,0,5,32,3,73,9,5,0,0,0,59,3,8,27.3,Matches
Philip Billing,58,dkDEN,MF,Bournemouth,28-332,1996,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0,Matches
Radu Drăgușin,150,roROU,DF,Tottenham,23-095,2002,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0,Matches
Raheem Sterling,485,engENG,"FW,MF",Arsenal,30-152,1994,4.9,1,0,0,12,4,4,14,1,4,0,0,0,14,1,3,25.0,Matches
Ramón Sosa,478,pyPAR,"FW,MF",Nott'ham Forest,25-251,1999,3.3,1,0,0,6,8,3,8,4,3,0,0,0,25,4,7,36.4,Matches
Rasmus Højlund,245,dkDEN,FW,Manchester Utd,22-094,2003,19.4,2,0,0,15,26,11,6,1,1,1,0,0,30,23,82,21.9,Matches
Rayan Aït-Nouri,9,dzALG,DF,Wolves,23-337,2001,31.8,7,1,1,30,39,5,86,24,52,0,0,0,133,20,28,41.7,Matches
Raúl Jiménez,259,mxMEX,FW,Fulham,34-004,1991,24.7,4,0,0,37,37,14,22,10,23,1,0,0,74,78,90,46.4,Matches
Reece James,253,engENG,"DF,MF",Chelsea,25-152,1999,9.3,1,0,0,6,10,0,38,12,9,0,0,0,55,21,6,77.8,Matches
Reiss Nelson,373,engENG,FW,Arsenal,25-150,1999,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Remy Rees-Dottin,426,engENG,FW,Bournemouth,19-064,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Renato Veiga,527,ptPOR,"DF,MF",Chelsea,21-284,2003,2.0,2,0,0,6,1,1,0,1,6,0,0,0,9,3,3,50.0,Matches
Ricardo Pereira,408,ptPOR,DF,Leicester City,31-215,1993,3.8,1,0,0,4,6,0,3,2,6,0,0,0,16,4,2,66.7,Matches
Riccardo Calafiori,82,itITA,DF,Arsenal,22-355,2002,10.3,4,0,0,16,6,3,11,9,18,0,0,0,30,22,13,62.9,Matches
Richarlison,432,brBRA,FW,Tottenham,27-364,1997,5.3,2,0,0,6,13,3,7,0,3,0,0,0,10,9,22,29.0,Matches
Rico Henry,234,engENG,DF,Brentford,27-305,1997,0.9,0,0,0,1,1,0,0,1,0,0,0,0,4,1,1,50.0,Matches
Rico Lewis,301,engENG,"DF,MF",Manchester City,20-169,2004,20.2,5,1,1,11,33,0,3,13,19,0,0,0,94,5,13,27.8,Matches
Robert Sánchez,446,esESP,GK,Chelsea,27-172,1997,29.0,5,0,0,2,4,0,0,2,0,0,2,0,41,9,0,100.0,Matches
Robin Olsen,391,seSWE,GK,Aston Villa,35-121,1990,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,N/a,Matches
Rodri,436,esESP,MF,Manchester City,28-321,1996,0.7,0,0,0,1,2,0,0,1,1,0,0,0,7,1,0,100.0,Matches
Rodrigo Bentancur,52,uyURU,MF,Tottenham,27-318,1997,16.9,7,0,0,31,10,1,4,36,20,0,0,0,111,35,27,56.5,Matches
Rodrigo Gomes,203,ptPOR,"DF,FW",Wolves,21-306,2003,7.5,0,0,0,3,5,0,19,5,13,0,0,0,24,6,15,28.6,Matches
Rodrigo Muniz,364,brBRA,FW,Fulham,24-005,2001,10.7,1,0,0,11,31,3,1,5,5,0,0,0,14,67,63,51.5,Matches
Romain Esse,167,engENG,MF,Crystal Palace,19-361,2005,0.4,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,100.0,Matches
Roman Dixon,139,engENG,DF,Everton,20-134,2004,1.0,0,0,0,0,0,0,0,1,5,0,0,0,6,0,3,0.0,Matches
Roméo Lavia,297,beBEL,MF,Chelsea,21-123,2004,7.6,4,0,0,13,5,0,0,14,13,0,1,0,35,10,2,83.3,Matches
Ronnie Edwards,159,engENG,DF,Southampton,22-042,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Ross Barkley,45,engENG,MF,Aston Villa,31-155,1993,6.3,3,0,0,8,3,0,1,10,3,0,0,0,41,6,4,60.0,Matches
Ross Stewart,486,sctSCO,FW,Southampton,28-302,1996,3.2,1,0,0,7,5,1,0,0,2,0,0,0,2,8,15,34.8,Matches
Ryan Christie,99,sctSCO,MF,Bournemouth,30-076,1995,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7,Matches
Ryan Fraser,188,sctSCO,"FW,DF",Southampton,31-074,1994,3.4,0,1,0,1,4,1,12,1,2,0,1,0,10,2,3,40.0,Matches
Ryan Gravenberch,209,nlNED,MF,Liverpool,22-358,2002,32.5,5,0,0,42,46,0,6,57,34,0,0,0,182,26,14,65.0,Matches
Ryan Manning,324,ieIRL,"DF,MF",Southampton,28-329,1996,16.2,2,0,0,19,32,0,84,17,17,0,0,0,65,15,5,75.0,Matches
Ryan Sessegnon,463,engENG,"FW,DF",Fulham,24-356,2000,5.2,1,0,0,16,4,1,13,3,11,0,0,0,25,8,10,44.4,Matches
Ryan Trevitt,516,engENG,MF,Brentford,22-058,2003,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,N/a,Matches
Ryan Yates,562,engENG,MF,Nott'ham Forest,27-169,1997,20.8,10,0,0,52,49,6,5,26,21,0,0,0,95,44,30,59.5,Matches
Rúben Dias,132,ptPOR,DF,Manchester City,27-360,1997,22.2,4,0,0,12,8,0,3,18,10,0,1,1,68,30,31,49.2,Matches
Sam Johnstone,265,engENG,GK,Wolves,32-045,1993,7.0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,100.0,Matches
Sam Morsy,358,egEGY,MF,Ipswich Town,33-241,1991,27.6,10,0,0,45,24,0,12,28,36,0,1,1,138,17,23,42.5,Matches
Sammie Szmodics,493,ieIRL,"FW,MF",Ipswich Town,29-227,1995,10.9,2,0,0,9,8,8,13,6,9,0,1,0,41,6,11,35.3,Matches
Samuel Amo-Ameyaw,21,engENG,"FW,DF",Southampton,18-295,2006,0.3,1,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0.0,Matches
Samuel Edozie,158,engENG,"DF,FW",Southampton,22-101,2003,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,N/a,Matches
Sander Berge,54,noNOR,MF,Fulham,27-084,1998,23.2,5,0,0,29,8,0,3,20,28,0,0,0,118,27,20,57.4,Matches
Sandro Tonali,510,itITA,MF,Newcastle Utd,25-001,2000,26.2,5,0,0,36,44,2,31,33,30,1,0,0,163,12,11,52.2,Matches
Santiago Bueno,73,uyURU,DF,Wolves,26-181,1998,18.7,2,0,0,26,5,0,0,15,21,0,0,0,43,35,31,53.0,Matches
Saša Lukić,310,rsSRB,MF,Fulham,28-269,1996,24.1,12,0,0,62,26,0,55,26,37,0,0,0,107,18,24,42.9,Matches
Scott McTominay,341,sctSCO,MF,Manchester Utd,28-152,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Sean Longstaff,309,engENG,MF,Newcastle Utd,27-191,1997,8.9,2,0,0,9,6,0,5,7,16,0,0,0,31,7,7,50.0,Matches
Sepp van den Berg,128,nlNED,DF,Brentford,23-140,2001,25.7,2,0,0,20,5,1,7,20,22,1,0,0,87,84,66,56.0,Matches
Sergio Reguilón,427,esESP,DF,Tottenham,28-144,1996,1.4,2,0,0,2,5,0,10,2,3,0,0,0,9,5,2,71.4,Matches
Shumaira Mheuka,345,engENG,MF,Chelsea,17-201,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Simon Adingra,5,ciCIV,"FW,MF",Brighton,23-128,2002,10.6,0,0,0,11,3,2,35,8,14,0,0,0,41,6,3,66.7,Matches
Solly March,325,engENG,"FW,MF",Brighton,30-293,1994,1.9,2,0,0,2,2,3,20,2,3,0,0,0,7,1,2,33.3,Matches
Son Heung-min,236,krKOR,FW,Tottenham,32-305,1992,22.3,1,0,0,5,28,11,75,5,9,1,0,0,81,6,11,35.3,Matches
Stefan Ortega,397,deGER,GK,Manchester City,32-184,1992,12.2,1,0,0,1,2,0,0,0,0,0,1,0,8,2,0,100.0,Matches
Stephy Mavididi,332,engENG,FW,Leicester City,26-343,1998,17.9,2,0,0,18,18,3,69,11,19,0,0,0,83,9,15,37.5,Matches
Sven Botman,63,nlNED,DF,Newcastle Utd,25-117,2000,2.6,1,0,0,4,2,0,0,4,4,0,0,0,8,11,6,64.7,Matches
Sávio,452,brBRA,"FW,MF",Manchester City,21-029,2004,19.3,3,0,0,17,27,3,81,6,16,2,0,0,79,1,2,33.3,Matches
Séamus Coleman,104,ieIRL,DF,Everton,36-210,1988,2.2,1,0,0,0,1,0,3,1,1,0,0,0,7,1,1,50.0,Matches
Taiwo Awoniyi,38,ngNGA,FW,Nott'ham Forest,27-270,1997,4.5,0,0,0,8,10,1,2,0,3,0,0,0,18,13,38,25.5,Matches
Takehiro Tomiyasu,509,jpJPN,DF,Arsenal,26-185,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Tariq Lamptey,295,ghGHA,DF,Brighton,24-221,2000,8.9,0,0,0,13,10,0,25,6,10,0,1,0,36,1,13,7.1,Matches
Taylor Harwood-Bellis,228,engENG,DF,Southampton,23-099,2002,29.5,9,0,0,34,14,0,10,30,19,0,0,0,120,56,42,57.1,Matches
Thiago,502,brBRA,FW,Brentford,23-317,2001,1.6,0,0,0,3,3,1,1,2,2,0,0,0,10,6,4,60.0,Matches
Thomas Partey,405,ghGHA,"MF,DF",Arsenal,31-330,1993,28.1,4,0,0,40,28,1,12,33,49,0,0,0,123,26,22,54.2,Matches
Tim Iroegbunam,248,engENG,MF,Everton,21-313,2003,6.3,4,0,0,15,12,0,1,15,13,0,0,0,48,11,4,73.3,Matches
Timo Werner,546,deGER,"FW,MF",Tottenham,29-064,1996,5.7,0,0,0,3,5,5,28,1,4,0,0,0,18,0,1,0.0,Matches
Timothy Castagne,90,beBEL,DF,Fulham,29-155,1995,18.3,1,0,0,15,6,1,37,22,29,0,1,0,57,34,35,49.3,Matches
Toby Collyer,106,engENG,MF,Manchester Utd,21-126,2004,2.0,0,0,0,2,4,0,0,2,9,0,0,0,17,3,1,75.0,Matches
Tom Cairney,80,sctSCO,MF,Fulham,34-109,1991,5.5,3,1,0,8,17,0,17,4,5,0,0,0,44,4,8,33.3,Matches
Tommy Doyle,149,engENG,MF,Wolves,23-204,2001,5.4,1,0,0,5,5,0,15,5,6,0,0,0,43,1,6,14.3,Matches
Tomáš Souček,479,czCZE,MF,West Ham,30-071,1995,25.9,8,0,0,44,24,4,13,18,19,1,0,0,57,95,68,58.3,Matches
Tosin Adarabioyo,4,engENG,DF,Chelsea,27-227,1997,13.7,3,0,0,8,6,1,0,10,10,0,0,0,34,36,26,58.1,Matches
Toti Gomes,204,ptPOR,DF,Wolves,26-113,1999,26.0,6,0,0,23,14,4,13,23,38,0,1,0,100,48,24,66.7,Matches
Trent Alexander-Arnold,15,engENG,DF,Liverpool,26-214,1998,25.5,5,0,0,11,8,1,145,30,49,0,0,0,129,3,13,18.8,Matches
Trevoh Chalobah,91,engENG,DF,Crystal Palace,25-308,1999,11.8,1,0,0,10,15,1,7,19,16,0,0,0,56,22,19,53.7,Matches
Tyler Adams,3,usUSA,MF,Bournemouth,26-084,1999,19.0,7,0,0,41,19,0,3,32,46,0,1,0,100,29,17,63.0,Matches
Tyler Dibling,134,engENG,"FW,MF",Southampton,19-058,2006,19.4,6,0,0,28,49,2,28,8,20,2,0,0,75,10,21,32.3,Matches
Tyler Fredricson,189,engENG,DF,Manchester Utd,20-075,2005,1.8,0,0,0,0,2,0,0,1,3,0,0,0,12,7,5,58.3,Matches
Tyrell Malacia,321,nlNED,DF,Manchester Utd,25-265,1999,1.1,1,0,0,3,2,0,1,1,1,0,0,0,3,0,0,N/a,Matches
Tyrick Mitchell,351,engENG,DF,Crystal Palace,25-250,1999,32.7,2,0,0,20,24,2,100,14,54,1,0,0,156,18,21,46.2,Matches
Tyrique George,196,engENG,FW,Chelsea,19-094,2006,1.1,1,0,0,2,0,1,3,1,0,0,0,0,3,0,3,0.0,Matches
Tyrone Mings,349,engENG,DF,Aston Villa,32-057,1993,11.7,1,0,0,3,9,0,1,7,5,0,0,0,33,26,21,55.3,Matches
Valentino Livramento,308,engENG,DF,Newcastle Utd,22-178,2002,28.6,1,0,0,6,34,2,45,21,34,0,0,0,173,23,31,42.6,Matches
Victor Bernth Kristiansen,56,dkDEN,DF,Leicester City,22-144,2002,26.4,1,0,0,17,17,3,96,40,50,0,1,1,97,19,42,31.1,Matches
Victor Lindelöf,306,seSWE,DF,Manchester Utd,30-296,1994,5.4,1,0,0,7,1,0,1,7,1,0,0,0,12,10,13,43.5,Matches
Virgil van Dijk,525,nlNED,DF,Liverpool,33-305,1991,35.0,4,0,0,16,12,0,1,54,17,0,0,0,110,111,46,70.7,Matches
Vitaliy Mykolenko,369,uaUKR,DF,Everton,25-345,1999,31.2,3,0,0,20,28,3,91,37,33,0,1,0,79,46,36,56.1,Matches
Vitaly Janelt,254,deGER,MF,Brentford,26-364,1998,25.0,3,0,0,24,15,1,30,27,22,0,0,2,107,19,11,63.3,Matches
Vitezslav Jaros,255,czCZE,GK,Liverpool,23-290,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Vitor Reis,428,brBRA,DF,Manchester City,19-117,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Vladimír Coufal,110,czCZE,DF,West Ham,32-260,1992,9.7,4,0,0,20,14,0,21,8,11,0,0,1,29,18,12,60.0,Matches
Wataru Endo,165,jpJPN,MF,Liverpool,32-089,1993,2.6,0,0,0,14,6,0,0,3,8,0,0,0,12,2,3,40.0,Matches
Welington,545,brBRA,"DF,MF",Southampton,24-079,2001,2.4,1,0,0,3,5,0,10,3,5,0,1,0,10,0,2,0.0,Matches
Wes Burns,77,wlsWAL,"FW,DF",Ipswich Town,30-167,1994,10.3,1,0,0,4,11,0,46,10,11,0,0,0,50,8,21,27.6,Matches
Wesley Fofana,184,frFRA,DF,Chelsea,24-143,2000,13.0,7,0,0,24,16,0,1,14,12,0,0,0,54,27,12,69.2,Matches
Wilfred Ndidi,371,ngNGA,MF,Leicester City,28-144,1996,23.9,8,0,0,39,17,3,30,26,50,0,0,1,121,55,55,50.0,Matches
Will Alves,19,engENG,FW,Leicester City,20-095,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Will Hughes,242,engENG,MF,Crystal Palace,30-022,1995,21.1,11,0,0,60,30,0,68,19,33,0,1,0,110,17,17,50.0,Matches
Will Lankshear,296,engENG,"FW,MF",Tottenham,20-019,2005,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
William Osula,398,dkDEN,FW,Newcastle Utd,21-278,2003,1.2,0,0,0,2,1,1,1,4,0,0,0,0,2,4,1,80.0,Matches
William Saliba,445,frFRA,DF,Arsenal,24-046,2001,32.3,2,1,0,28,17,1,3,21,36,0,1,0,146,58,35,62.4,Matches
William Smallbone,472,ieIRL,MF,Southampton,25-077,2000,7.2,1,0,0,11,3,0,34,2,11,0,1,0,23,4,2,66.7,Matches
Willian,551,brBRA,"FW,MF",Fulham,36-273,1988,2.7,0,0,0,1,0,0,13,1,1,0,0,0,14,1,2,33.3,Matches
Willy Boly,62,ciCIV,DF,Nott'ham Forest,34-095,1991,1.7,1,0,0,1,0,0,0,3,1,0,0,0,5,6,2,75.0,Matches
Wilson Odobert,388,frFRA,FW,Tottenham,20-162,2004,7.0,0,0,0,1,3,1,21,3,3,0,0,0,29,3,6,33.3,Matches
Wout Faes,174,beBEL,DF,Leicester City,27-036,1998,28.3,4,0,0,21,10,1,5,26,23,0,0,0,87,41,34,54.7,Matches
Woyo Coulibaly,111,frFRA,DF,Leicester City,25-354,1999,1.2,1,0,0,2,1,0,0,5,4,0,0,0,14,0,3,0.0,Matches
Yankuba Minteh,350,gmGAM,"FW,MF",Brighton,20-291,2004,17.6,6,0,0,20,10,4,76,11,32,0,0,0,75,16,32,33.3,Matches
Yasin Ayari,39,seSWE,MF,Brighton,21-215,2003,19.5,3,0,0,33,23,3,64,20,29,0,1,0,107,14,20,41.2,Matches
Yehor Yarmoliuk,561,uaUKR,MF,Brentford,21-069,2004,13.3,5,0,0,13,9,2,16,10,24,0,0,0,92,8,7,53.3,Matches
Yerson Mosquera,359,coCOL,DF,Wolves,24-007,2001,4.9,2,0,0,6,7,1,2,10,7,0,0,0,24,11,6,64.7,Matches
Yoane Wissa,557,cdCOD,FW,Brentford,28-248,1996,29.4,2,0,0,28,47,14,20,8,12,1,0,0,67,29,34,46.0,Matches
Youri Tielemans,504,beBEL,MF,Aston Villa,28-002,1997,33.3,4,0,0,41,56,0,118,22,57,0,0,0,145,22,18,55.0,Matches
Youssef Chermiti,94,ptPOR,"FW,MF",Everton,20-350,2004,0.5,1,0,0,1,1,2,1,0,0,0,0,0,0,2,1,66.7,Matches
Yukinari Sugawara,490,jpJPN,"DF,MF",Southampton,24-315,2000,16.3,4,0,0,15,9,4,69,10,16,0,2,0,40,5,9,35.7,Matches
Yunus Emre Konak,162,trTUR,"FW,MF",Brentford,19-119,2006,0.5,0,0,0,3,1,0,0,0,4,0,0,0,2,5,8,38.5,Matches
Yves Bissouma,59,mlMLI,MF,Tottenham,28-252,1996,14.4,7,0,0,23,18,0,2,16,29,0,1,0,78,5,7,41.7,Matches
Zain Silcott-Duberry,465,msMSR,FW,Bournemouth,19-304,2005,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,Matches
Álex Moreno,357,esESP,"DF,MF",Nott'ham Forest,31-335,1993,10.6,2,0,0,12,6,0,19,15,18,0,0,0,50,3,11,21.4,Matches
İlkay Gündoğan,220,deGER,MF,Manchester City,34-197,1990,22.8,1,0,0,15,21,0,57,13,13,0,0,0,105,13,11,54.2,Matches
Łukasz Fabiański,173,plPOL,GK,West Ham,40-021,1985,11.9,2,0,0,2,1,0,0,0,0,0,2,0,5,2,1,66.7,Matches
