Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Ross Barkley,45,engENG,MF,Aston Villa,31-155,1993,18,3,571,6.3,3,1,4,3,0,0,3,0,1.7,1.7,0.6,2.3,15,33,10,0.47,0.16,0.63,0.47,0.63,0.27,0.10,0.37,0.27,0.37,Matches
Ross Stewart,486,sctSCO,FW,Southampton,28-302,1996,9,3,286,3.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,1,1,6,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
Ryan Christie,99,sctSCO,MF,Bournemouth,30-076,1995,29,27,"2,117",23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,34,137,44,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,Matches
Ryan Fraser,188,sctSCO,"FW,DF",Southampton,31-074,1994,8,4,306,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,10,8,18,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Ryan Gravenberch,209,nlNED,MF,Liverpool,22-358,2002,34,34,"2,921",32.5,0,4,4,0,0,0,5,0,1.0,1.0,2.9,3.9,65,168,54,0.00,0.12,0.12,0.00,0.12,0.03,0.09,0.12,0.03,0.12,Matches
Ryan Manning,324,ieIRL,"DF,MF",Southampton,28-329,1996,23,18,"1,459",16.2,0,1,1,0,0,0,2,0,0.3,0.3,3.2,3.6,14,35,74,0.00,0.06,0.06,0.00,0.06,0.02,0.20,0.22,0.02,0.22,Matches
Ryan Sessegnon,463,engENG,"FW,DF",Fulham,24-356,2000,13,6,470,5.2,4,2,6,4,0,0,1,0,1.6,1.6,1.0,2.5,14,14,51,0.77,0.38,1.15,0.77,1.15,0.30,0.18,0.49,0.30,0.49,Matches
Ryan Trevitt,516,engENG,MF,Brentford,22-058,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ryan Yates,562,engENG,MF,Nott'ham Forest,27-169,1997,32,18,"1,874",20.8,2,1,3,2,0,0,10,0,2.3,2.3,1.1,3.4,17,48,14,0.10,0.05,0.14,0.10,0.14,0.11,0.05,0.16,0.11,0.16,Matches
Rúben Dias,132,ptPOR,DF,Manchester City,27-360,1997,24,22,"2,001",22.2,0,0,0,0,0,0,4,0,1.4,1.4,0.3,1.7,35,122,6,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
Sam Johnstone,265,engENG,GK,Wolves,32-045,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sam Morsy,358,egEGY,MF,Ipswich Town,33-241,1991,30,28,"2,486",27.6,1,1,2,1,0,0,10,0,0.3,0.3,0.8,1.2,16,104,9,0.04,0.04,0.07,0.04,0.07,0.01,0.03,0.04,0.01,0.04,Matches
Sammie Szmodics,493,ieIRL,"FW,MF",Ipswich Town,29-227,1995,19,13,979,10.9,4,0,4,4,0,0,2,0,3.4,3.4,0.2,3.6,16,18,46,0.37,0.00,0.37,0.37,0.37,0.31,0.02,0.33,0.31,0.33,Matches
Samuel Amo-Ameyaw,21,engENG,"FW,DF",Southampton,18-295,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.29,0.07,0.29,Matches
Samuel Edozie,158,engENG,"DF,FW",Southampton,22-101,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4,23,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches
Sander Berge,54,noNOR,MF,Fulham,27-084,1998,28,24,"2,091",23.2,0,0,0,0,0,0,5,0,0.2,0.2,0.6,0.8,27,116,8,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,Matches
Sandro Tonali,510,itITA,MF,Newcastle Utd,25-001,2000,33,25,"2,360",26.2,3,2,5,3,0,0,5,0,3.7,3.7,1.4,5.0,33,116,48,0.11,0.08,0.19,0.11,0.19,0.14,0.05,0.19,0.14,0.19,Matches
Santiago Bueno,73,uyURU,DF,Wolves,26-181,1998,28,18,"1,683",18.7,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,28,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Saša Lukić,310,rsSRB,MF,Fulham,28-269,1996,28,26,"2,169",24.1,0,2,2,0,0,0,12,0,1.2,1.2,2.6,3.8,37,92,29,0.00,0.08,0.08,0.00,0.08,0.05,0.11,0.16,0.05,0.16,Matches
Scott McTominay,341,sctSCO,MF,Manchester Utd,28-152,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,Matches
Sean Longstaff,309,engENG,MF,Newcastle Utd,27-191,1997,24,8,797,8.9,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,40,22,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Sepp van den Berg,128,nlNED,DF,Brentford,23-140,2001,28,26,"2,316",25.7,0,0,0,0,0,0,2,0,1.7,1.7,0.5,2.2,10,72,27,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Sergio Reguilón,427,esESP,DF,Tottenham,28-144,1996,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
Shumaira Mheuka,345,engENG,MF,Chelsea,17-201,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,5.06,0.00,5.06,5.06,5.06,Matches
Simon Adingra,5,ciCIV,"FW,MF",Brighton,23-128,2002,26,10,956,10.6,2,1,3,2,0,0,0,0,2.2,2.2,1.8,4.0,37,14,119,0.19,0.09,0.28,0.19,0.28,0.21,0.17,0.38,0.21,0.38,Matches
Solly March,325,engENG,"FW,MF",Brighton,30-293,1994,8,1,168,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,5,2,20,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.19,0.05,0.19,Matches
Son Heung-min,236,krKOR,FW,Tottenham,32-305,1992,28,23,"2,004",22.3,7,9,16,6,1,2,1,0,7.0,5.4,8.2,13.7,87,104,259,0.31,0.40,0.72,0.27,0.67,0.31,0.37,0.68,0.24,0.61,Matches
Stefan Ortega,397,deGER,GK,Manchester City,32-184,1992,13,12,"1,100",12.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Stephy Mavididi,332,engENG,FW,Leicester City,26-343,1998,30,16,"1,615",17.9,4,1,5,4,0,0,2,0,1.8,1.8,2.6,4.4,91,57,138,0.22,0.06,0.28,0.22,0.28,0.10,0.15,0.25,0.10,0.25,Matches
Sven Botman,63,nlNED,DF,Newcastle Utd,25-117,2000,5,3,233,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Sávio,452,brBRA,"FW,MF",Manchester City,21-029,2004,27,21,"1,734",19.3,1,8,9,1,0,0,3,0,4.9,4.9,6.8,11.6,133,66,239,0.05,0.42,0.47,0.05,0.47,0.25,0.35,0.60,0.25,0.60,Matches
Séamus Coleman,104,ieIRL,DF,Everton,36-210,1988,3,2,197,2.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,8,2,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches
Taiwo Awoniyi,38,ngNGA,FW,Nott'ham Forest,27-270,1997,25,3,408,4.5,1,0,1,1,0,0,0,0,2.1,2.1,0.1,2.2,6,7,20,0.22,0.00,0.22,0.22,0.22,0.47,0.02,0.49,0.47,0.49,Matches
Takehiro Tomiyasu,509,jpJPN,DF,Arsenal,26-185,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,2.37,0.00,2.37,2.37,2.37,Matches
Tariq Lamptey,295,ghGHA,DF,Brighton,24-221,2000,14,9,802,8.9,2,2,4,2,0,0,0,0,0.4,0.4,0.8,1.2,28,12,43,0.22,0.22,0.45,0.22,0.45,0.04,0.09,0.13,0.04,0.13,Matches
Taylor Harwood-Bellis,228,engENG,DF,Southampton,23-099,2002,32,30,"2,654",29.5,1,0,1,1,0,0,9,0,1.8,1.8,1.0,2.8,29,119,9,0.03,0.00,0.03,0.03,0.03,0.06,0.03,0.09,0.06,0.09,Matches
Thiago,502,brBRA,FW,Brentford,23-317,2001,5,1,142,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,4,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,Matches
Thomas Partey,405,ghGHA,"MF,DF",Arsenal,31-330,1993,32,28,"2,527",28.1,4,2,6,4,0,0,4,0,2.0,2.0,1.9,4.0,32,171,47,0.14,0.07,0.21,0.14,0.21,0.07,0.07,0.14,0.07,0.14,Matches
Tim Iroegbunam,248,engENG,MF,Everton,21-313,2003,17,5,567,6.3,0,1,1,0,0,0,4,0,0.2,0.2,0.2,0.4,8,14,9,0.00,0.16,0.16,0.00,0.16,0.04,0.03,0.07,0.04,0.07,Matches
Timo Werner,546,deGER,"FW,MF",Tottenham,29-064,1996,18,4,516,5.7,0,3,3,0,0,0,0,0,1.0,1.0,2.5,3.5,42,30,89,0.00,0.52,0.52,0.00,0.52,0.17,0.44,0.61,0.17,0.61,Matches
Timothy Castagne,90,beBEL,DF,Fulham,29-155,1995,24,17,"1,649",18.3,0,1,1,0,0,0,1,0,0.4,0.4,1.2,1.6,17,62,67,0.00,0.05,0.05,0.00,0.05,0.02,0.07,0.09,0.02,0.09,Matches
Toby Collyer,106,engENG,MF,Manchester Utd,21-126,2004,6,0,179,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0,5,2,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.22,0.09,0.22,Matches
Tom Cairney,80,sctSCO,MF,Fulham,34-109,1991,22,2,494,5.5,1,0,1,1,0,0,3,1,0.2,0.2,1.0,1.2,14,47,29,0.18,0.00,0.18,0.18,0.18,0.04,0.17,0.21,0.04,0.21,Matches
Tommy Doyle,149,engENG,MF,Wolves,23-204,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0.6,0.6,0.5,1.1,6,40,4,0.00,0.18,0.18,0.00,0.18,0.10,0.09,0.20,0.10,0.20,Matches
Tomáš Souček,479,czCZE,MF,West Ham,30-071,1995,32,27,"2,330",25.9,8,1,9,8,0,0,8,0,6.0,6.0,1.0,7.0,6,70,65,0.31,0.04,0.35,0.31,0.35,0.23,0.04,0.27,0.23,0.27,Matches
Tosin Adarabioyo,4,engENG,DF,Chelsea,27-227,1997,20,13,"1,229",13.7,1,1,2,1,0,0,3,0,0.9,0.9,0.2,1.1,5,37,1,0.07,0.07,0.15,0.07,0.15,0.07,0.02,0.08,0.07,0.08,Matches
Toti Gomes,204,ptPOR,DF,Wolves,26-113,1999,28,27,"2,344",26.0,0,1,1,0,0,0,6,0,0.7,0.7,0.9,1.7,21,67,15,0.00,0.04,0.04,0.00,0.04,0.03,0.04,0.06,0.03,0.06,Matches
Trent Alexander-Arnold,15,engENG,DF,Liverpool,26-214,1998,31,28,"2,296",25.5,3,6,9,3,0,0,5,0,1.8,1.8,6.7,8.5,50,221,90,0.12,0.24,0.35,0.12,0.35,0.07,0.26,0.33,0.07,0.33,Matches
Trevoh Chalobah,91,engENG,DF,Crystal Palace,25-308,1999,12,12,"1,060",11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0.00,0.25,0.25,0.25,0.10,0.03,0.14,0.10,0.14,Matches
Tyler Adams,3,usUSA,MF,Bournemouth,26-084,1999,25,18,"1,710",19.0,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.5,12,65,9,0.00,0.16,0.16,0.00,0.16,0.08,0.05,0.13,0.08,0.13,Matches
Tyler Dibling,134,engENG,"FW,MF",Southampton,19-058,2006,31,18,"1,742",19.4,2,0,2,2,0,0,6,0,2.5,2.5,1.5,4.1,68,61,93,0.10,0.00,0.10,0.10,0.10,0.13,0.08,0.21,0.13,0.21,Matches
Tyler Fredricson,189,engENG,DF,Manchester Utd,20-075,2005,2,2,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Tyrell Malacia,321,nlNED,DF,Manchester Utd,25-265,1999,3,2,100,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Tyrick Mitchell,351,engENG,DF,Crystal Palace,25-250,1999,35,35,"2,942",32.7,0,4,4,0,0,0,2,0,1.2,1.2,5.7,7.0,56,64,166,0.00,0.12,0.12,0.00,0.12,0.04,0.18,0.21,0.04,0.21,Matches
Tyrique George,196,engENG,FW,Chelsea,19-094,2006,7,0,103,1.1,1,1,2,1,0,0,1,0,0.2,0.2,0.7,0.9,9,2,18,0.87,0.87,1.75,0.87,1.75,0.17,0.63,0.80,0.17,0.80,Matches
Tyrone Mings,349,engENG,DF,Aston Villa,32-057,1993,13,11,"1,051",11.7,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,6,39,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Valentino Livramento,308,engENG,DF,Newcastle Utd,22-178,2002,34,29,"2,570",28.6,0,1,1,0,0,0,1,0,0.2,0.2,2.3,2.6,73,144,98,0.00,0.04,0.04,0.00,0.04,0.01,0.08,0.09,0.01,0.09,Matches
Victor Bernth Kristiansen,56,dkDEN,DF,Leicester City,22-144,2002,28,28,"2,380",26.4,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.7,39,69,75,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.06,0.01,0.06,Matches
Victor Lindelöf,306,seSWE,DF,Manchester Utd,30-296,1994,13,4,485,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Virgil van Dijk,525,nlNED,DF,Liverpool,33-305,1991,35,35,"3,150",35.0,3,1,4,3,0,0,4,0,2.2,2.2,0.7,3.0,18,180,6,0.09,0.03,0.11,0.09,0.11,0.06,0.02,0.08,0.06,0.08,Matches
Vitaliy Mykolenko,369,uaUKR,DF,Everton,25-345,1999,32,32,"2,812",31.2,0,1,1,0,0,0,3,0,0.4,0.4,1.6,2.1,31,105,90,0.00,0.03,0.03,0.00,0.03,0.01,0.05,0.07,0.01,0.07,Matches
Vitaly Janelt,254,deGER,MF,Brentford,26-364,1998,32,27,"2,254",25.0,1,3,4,1,0,0,3,0,0.8,0.8,2.2,3.0,17,80,38,0.04,0.12,0.16,0.04,0.16,0.03,0.09,0.12,0.03,0.12,Matches
Vitezslav Jaros,255,czCZE,GK,Liverpool,23-290,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Vitor Reis,428,brBRA,DF,Manchester City,19-117,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Vladimír Coufal,110,czCZE,DF,West Ham,32-260,1992,19,9,876,9.7,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.8,15,33,25,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
Wataru Endo,165,jpJPN,MF,Liverpool,32-089,1993,18,1,237,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,14,5,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Welington,545,brBRA,"DF,MF",Southampton,24-079,2001,7,3,215,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,3,6,10,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Wes Burns,77,wlsWAL,"FW,DF",Ipswich Town,30-167,1994,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0.00,0.10,0.10,0.00,0.10,0.05,0.16,0.21,0.05,0.21,Matches
Wesley Fofana,184,frFRA,DF,Chelsea,24-143,2000,14,14,"1,172",13.0,0,0,0,0,0,0,7,0,0.4,0.4,0.4,0.8,19,32,4,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.06,Matches
Wilfred Ndidi,371,ngNGA,MF,Leicester City,28-144,1996,26,26,"2,147",23.9,0,4,4,0,0,0,8,0,2.0,2.0,1.8,3.9,17,65,75,0.00,0.17,0.17,0.00,0.17,0.09,0.08,0.16,0.09,0.16,Matches
Will Alves,19,engENG,FW,Leicester City,20-095,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Will Hughes,242,engENG,MF,Crystal Palace,30-022,1995,30,21,"1,899",21.1,0,3,3,0,0,0,11,0,1.0,1.0,2.7,3.8,19,83,24,0.00,0.14,0.14,0.00,0.14,0.05,0.13,0.18,0.05,0.18,Matches
Will Lankshear,296,engENG,"FW,MF",Tottenham,20-019,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
William Osula,398,dkDEN,FW,Newcastle Utd,21-278,2003,12,0,104,1.2,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,2,2,12,0.87,0.00,0.87,0.87,0.87,0.10,0.08,0.18,0.10,0.18,Matches
William Saliba,445,frFRA,DF,Arsenal,24-046,2001,33,33,"2,904",32.3,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,134,6,0.06,0.00,0.06,0.06,0.06,0.07,0.03,0.10,0.07,0.10,Matches
William Smallbone,472,ieIRL,MF,Southampton,25-077,2000,15,6,646,7.2,1,0,1,1,0,0,1,0,0.4,0.4,0.6,1.1,5,25,23,0.14,0.00,0.14,0.14,0.14,0.06,0.09,0.15,0.06,0.15,Matches
Willian,551,brBRA,"FW,MF",Fulham,36-273,1988,9,2,241,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,9,38,31,0.00,0.00,0.00,0.00,0.00,0.10,0.17,0.27,0.10,0.27,Matches
Willy Boly,62,ciCIV,DF,Nott'ham Forest,34-095,1991,6,1,150,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Wilson Odobert,388,frFRA,FW,Tottenham,20-162,2004,13,7,629,7.0,1,0,1,1,0,0,0,0,1.2,1.2,0.9,2.1,40,21,56,0.14,0.00,0.14,0.14,0.14,0.17,0.13,0.30,0.17,0.30,Matches
Wout Faes,174,beBEL,DF,Leicester City,27-036,1998,31,27,"2,545",28.3,1,0,1,1,0,0,4,0,1.4,1.4,0.1,1.5,12,80,1,0.04,0.00,0.04,0.04,0.04,0.05,0.00,0.05,0.05,0.05,Matches
Woyo Coulibaly,111,frFRA,DF,Leicester City,25-354,1999,4,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Yankuba Minteh,350,gmGAM,"FW,MF",Brighton,20-291,2004,29,17,"1,587",17.6,6,4,10,6,0,0,6,0,4.0,4.0,4.7,8.7,71,40,163,0.34,0.23,0.57,0.34,0.57,0.22,0.27,0.49,0.22,0.49,Matches
Yasin Ayari,39,seSWE,MF,Brighton,21-215,2003,31,19,"1,759",19.5,1,1,2,1,0,0,3,0,2.2,2.2,2.2,4.4,30,69,59,0.05,0.05,0.10,0.05,0.10,0.11,0.11,0.23,0.11,0.23,Matches
Yehor Yarmoliuk,561,uaUKR,MF,Brentford,21-069,2004,28,12,"1,196",13.3,0,0,0,0,0,0,5,0,0.6,0.6,0.9,1.5,15,52,44,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.11,0.05,0.11,Matches
Yerson Mosquera,359,coCOL,DF,Wolves,24-007,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Yoane Wissa,557,cdCOD,FW,Brentford,28-248,1996,32,31,"2,650",29.4,18,3,21,18,0,0,2,0,16.5,16.5,1.8,18.3,51,57,135,0.61,0.10,0.71,0.61,0.71,0.56,0.06,0.62,0.56,0.62,Matches
Youri Tielemans,504,beBEL,MF,Aston Villa,28-002,1997,35,35,"2,997",33.3,3,7,10,3,0,1,4,0,3.1,2.3,6.9,9.2,39,234,48,0.09,0.21,0.30,0.09,0.30,0.09,0.21,0.30,0.07,0.28,Matches
Youssef Chermiti,94,ptPOR,"FW,MF",Everton,20-350,2004,4,0,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,6,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches
Yukinari Sugawara,490,jpJPN,"DF,MF",Southampton,24-315,2000,29,15,"1,467",16.3,1,1,2,1,0,0,4,0,0.5,0.5,2.2,2.7,32,68,76,0.06,0.06,0.12,0.06,0.12,0.03,0.14,0.17,0.03,0.17,Matches
Yunus Emre Konak,162,trTUR,"FW,MF",Brentford,19-119,2006,9,0,41,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,2,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34,Matches
Yves Bissouma,59,mlMLI,MF,Tottenham,28-252,1996,25,16,"1,300",14.4,2,0,2,2,0,0,7,0,0.6,0.6,0.3,0.9,15,72,3,0.14,0.00,0.14,0.14,0.14,0.04,0.02,0.06,0.04,0.06,Matches
Zain Silcott-Duberry,465,msMSR,FW,Bournemouth,19-304,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Álex Moreno,357,esESP,"DF,MF",Nott'ham Forest,31-335,1993,15,11,955,10.6,0,1,1,0,0,0,2,0,0.2,0.2,1.3,1.4,26,34,34,0.00,0.09,0.09,0.00,0.09,0.02,0.12,0.13,0.02,0.13,Matches
İlkay Gündoğan,220,deGER,MF,Manchester City,34-197,1990,31,23,"2,050",22.8,0,5,5,0,0,0,1,0,2.7,2.7,2.8,5.5,57,115,86,0.00,0.22,0.22,0.00,0.22,0.12,0.12,0.24,0.12,0.24,Matches
Łukasz Fabiański,173,plPOL,GK,West Ham,40-021,1985,13,12,"1,070",11.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
